time,x,y,z
3.629999999999999893e+00,-7.226487448598259533e+00,-6.068642370847944001e+00,2.705683120995582414e+01
3.660000000000000142e+00,-6.937035720326230503e+00,-6.174393422292424383e+00,2.622073291256142369e+01
3.689999999999999947e+00,-6.771281640237933885e+00,-6.431894459754791349e+00,2.544533729163950042e+01
3.720000000000000195e+00,-6.733569489957764276e+00,-6.820266306056442573e+00,2.477467175799109000e+01
3.750000000000000000e+00,-6.821930021407933253e+00,-7.319948444001143528e+00,2.424796811735944502e+01
3.780000000000000249e+00,-7.029774569264289674e+00,-7.910222036864082540e+00,2.390170887275699130e+01
3.810000000000000053e+00,-7.346250057817602652e+00,-8.565033480442494351e+00,2.376986129278130377e+01
3.839999999999999858e+00,-7.755298363029365483e+00,-9.248137302709002583e+00,2.388159749474791838e+01
3.870000000000000107e+00,-8.233752531074930658e+00,-9.908930598798969314e+00,2.425582832017344259e+01
3.899999999999999911e+00,-8.749167703219404402e+00,-1.048111301137013740e+01,2.489235064472126524e+01
3.930000000000000160e+00,-9.258570200424141916e+00,-1.088705980156935915e+01,2.576084352140526690e+01
3.959999999999999964e+00,-9.709751327989206260e+00,-1.105046737006526847e+01,2.679150732126772638e+01
3.990000000000000213e+00,-1.004666415955130709e+01,-1.091698353692384060e+01,2.787378082757074083e+01
4.020000000000000462e+00,-1.021928309178069583e+01,-1.047688323731538063e+01,2.886951939694180425e+01
4.049999999999999822e+00,-1.019583943802889081e+01,-9.778470973674668443e+00,2.964137019112307314e+01
4.080000000000000071e+00,-9.972842788941989056e+00,-8.921787568188745965e+00,3.008710298825430840e+01
4.110000000000000320e+00,-9.577959459458462277e+00,-8.032249023904233454e+00,3.016401225506420758e+01
4.139999999999999680e+00,-9.063822561553536161e+00,-7.226565094938304235e+00,2.989189752787663323e+01
4.169999999999999929e+00,-8.495440162830265152e+00,-6.587411471803949148e+00,2.933617696184397516e+01
4.200000000000000178e+00,-7.936633227699016579e+00,-6.155632024054466633e+00,2.858304952606775728e+01
4.230000000000000426e+00,-7.440198931612414412e+00,-5.937394356930145278e+00,2.771884281135585582e+01
4.259999999999999787e+00,-7.043598785994690026e+00,-5.917815419334623961e+00,2.681892871096804143e+01
4.290000000000000036e+00,-6.769302768747048837e+00,-6.073572908785265234e+00,2.594514414302182104e+01
4.320000000000000284e+00,-6.627725411319082660e+00,-6.380933565252245643e+00,2.514806208896596473e+01
4.350000000000000533e+00,-6.620783902740477345e+00,-6.818832900615309001e+00,2.447085067787910262e+01
4.379999999999999893e+00,-6.744764081835294078e+00,-7.368068770539664136e+00,2.395274901579180238e+01
4.410000000000000142e+00,-6.991843265154529696e+00,-8.007861225827555884e+00,2.363112828761272866e+01
4.440000000000000391e+00,-7.350084398913602435e+00,-8.710821775592410887e+00,2.354142901946380562e+01
4.469999999999999751e+00,-7.802022382496895503e+00,-9.437367598688750192e+00,2.371420057019183503e+01
4.500000000000000000e+00,-8.322254183451452292e+00,-1.013112145962719524e+01,2.416844522053838062e+01
4.530000000000000249e+00,-8.874864950510792383e+00,-1.071784145103148944e+01,2.490106500298496428e+01
4.560000000000000497e+00,-9.412107739260305195e+00,-1.111134545679041707e+01,2.587405480252579792e+01
4.589999999999999858e+00,-9.876268346267236709e+00,-1.122931531738064415e+01,2.700430143242425274e+01
4.620000000000000107e+00,-1.020646533648469223e+01,-1.101799647752016043e+01,2.816391896203355572e+01
